№	Название	Средняя цена	delta	Ед.изм.	Описание
0	FUEL	3.6	0.6	t	Топливо
1	Meet	17.2	4.1	t	Мясо. Главным образом свинина и говядина. Также часто встречается оленина, конина, черепашье мясо и мясо экзотических животных с отдаленных планет и из других галактик. 
2	Fish	14.5	3.4	t	Рыба. Производится в основном на планетах с хорошо развитым сельским хозяйством, также как и мясо. Карп, скумбрия, также осетровые виды рыб и экзотические.
3	Cereals	10.7	2.0	t	Злаки. Встречаются во всех галактиках как один из распространенных видов пищи. Рожь, пшеница и рис произрастают на особых плантациях планет с хорошим климатом. 
4	Fruits	14.2	4.5	t	Фрукты. Произрастают на плантациях и считаются большинством рас одним из самых вкусных и питательных видов пищи. Также, за счет большого содержания витаминов, полезны и незаменимы для поддержания здоровья организма.
5	Vegetables	10.6	3.3	t	Овощи. Встречаются как и фрукты на плантациях планет с хорошо развитым сельским хозяйством. 
6	Juice	26.5	5.9	t	Сок. Товар, вырабатываемый из фруктов и овощей в произвольных сочетаниях, за счет чего обладает неповторимым вкусом и питательными свойствами. Пользуется большим спросом на планетах с развитой промышленностью. 
7	Soy-Bean	3.1	1.1	t	Соя. Суррогатный продукт, в последнее время получивший широкое распространение за счет низкой цены и удовлетворительных вкусовых качеств. На планетах с развитой промышленностью из сои производят пищу, употребляемую низшими классами рас. Произрастает на плантациях.
8	Water	2.9	1.5	t	"Вода. Незаменимый продукт для поддержания жизнедеятельсности живых организмов. В последнее время в связи с общей загрязненностью планет, особенно промышленных, качество воды ухудшается; источники с кристально чистой водой сохранились только на планетах с хорошим климатом."
9	Oxygen	5.0	2.5	kg	Кислород. Также как и вода необходим для питания клеток живых организмов. Растворен в атмосфере планет с хорошим климатом.Многие малоизученные расы отдаленных планет и галактик адаптировались использовать для дыхания другие газы, такие как водород и углерод. Кислород особенно ценится на планетах с развитой промышленностью.
10	Gydrogen	4.6	2.8	kg	Водород. Газ, встречающийся практически на всех планетах в разных количествах. Как и кислород, главным образом, на планетах с хорошим климатом.В чистом виде используется для дыхания некоторых существ, а также для выработки энергии.
11	Carbon	6.7	2.3	kg	Углерод. Газ, вырабатываемый промышленными предприятиями, иногда встречается как одна из составляющих атмосфер планет. Используется для дыхания некоторых существ.
12	Textiles	7.2	1.2	t	Текстиль. Материал для производства предметов одежды, ткань. Во времена развития человеческой цивилизации играл главную роль в процессе сохранения тепла. 
13	Wool	17.8	4.1	t	Шерсть. Материал, давно используемый в качестве теплой одежды. Из-за сложности производства и утерей многих старинных технологий производства в последнее время редко используется, но пользуется спросом у богачей.
14	Tobacco	12.0	3.5	t	Табак. Необходим для курения. Вековая традиция, сложившаяся еще во времена Колумба - великого мореплавателя и пилота в душе, которая требует вдыхания в легкие продукта горения табака. Вызывает эйфорический эффект и привыкание. Популярна у всех слоев населения.
15	Sinthetic_Fibre	4.3	2.0	t	Синтетическое волокно. Применяется повсеместно как продукт заменивший текстиль и шерсть, с более высокими теплосберегающими и отталкивающими атмосферные осадки свойствами.
16	Rubber	12.2	2.6	t	Резина. Благодаря эластичным свойствам используется в качестве прокладочного материала в промышленном производстве. Также применяется для изготовления некоторых видов одежды.
17	Plastmass	13.3	3.9	t	Пластмасса. Получила широкое распространение в 20 веке и использовалась как замена железа в производстве. Но, вследствие низкой прочности, в настоящее время не применяется в сложных производствах.
18	Textiolit	9.5	3.1	t	Текстолит. Необходим для производтсва устаревших компьютеров. Встречается на планетах с плохо развитой промышленностью.
19	Radioactives	23.3	4.3	kg	Радиоактивные вещества. Необходимы как источник для производства энергии и атомного оружия. Из-за большой опасности заражения радиацией в настоящее время используется редко.
20	Slaves*	15.6	6.4	t	Рабы. Живой незаконный товар. Жители порабощенных планет, в основном гуманоиды. 
21	Human_Organs*	40.1	15.2	t	Человеческие органы. Незаконный товар, используемый для замены больных человеческих органов.
22	Genes*	98.7	40.5	unit	Гены великих людей вселенной. Незаконный товар, требующийся для рождения новых индивидуумов. В различных сочетаниях может приводить к рождению или сильных или слабых. Малоизучено.
23	Scientists*	70.4	34.0	t	Ученые. Живой незаконный товар. Рождают новые технологии, оружие, медицинские препараты. Прихотливы.
24	Medicine	28.9	5.7	t	Лекарства. Один из видов изобретения ученых. Открытие возможности гиперперехода между галактиками позволило новым вирусам свободно проникать в наш мир, видоизменяться и совершенствоваться. 
25	Discs	43.0	9.8	t	Диски с информацией. Интеллектуальная собственность. Продается только при наличии прав.
26	Liquor/Wines	28.4	6.4	t	Ликеры/Вина. Спиртные напитки, вызывающие как и табак эйфорический эффект более сильного действия. Особенно популярны у женской половины человечества и богачей.
27	Vodka/Beer	19.6	5.7	t	Водка/Пиво. Спиртные напитки вызывающие привыкание. В больших количествах вредны для здоровья живых организмов.
28	Luxuries	87.7	6.7	t	Предметы роскоши. Товары, изготовленные талантливыми существами, принадлежащими искусству. Ценятся в основном богачами и коллекционерами.
29	Narcotics*	34.8	69.6	t	Наркотики. Сильные лекарственные препараты, употребляемые как возбуждающее или лечебное средство, а также для получения удовольствия. Запрещены к продаже на многих планетах, по причине высокой степени привыкания и вреда здоровью. 
30	Pleasures	22.4	9.9	t	Удовольствия. Неосязаемые виды товаров, погружающие в иную реальность. Также как и наркотики применяются для получения приятных ощущений.
31	Computers	81.6	14	t	Компьютеры. Обрабатывающие и сохраняющие информацию устройства. В последнее время получили распространение интеллектуальные компьютеры, способные анализировать информацию, адаптироваться и принимать решения без участия человека.
32	Robots	53.2	11.4	t	Роботы. Машины, используемые в производстве товаров. Заменили человека в особо вредных производствах как устройства, необходимые для выполнения цикличных видов работ.
33	Machinery	55.8	7.4	t	Механизмы. Устройства для производства товаров, используются как части станков в промышленности. 
34	Biomechanics	90.8	20.0	t	Биомеханоиды. Симбиоз компьютера и живого организма - кибернетические существа. За счет внедрения интеллекта и неприхотливости могут заменять человека практически во всех сферах деятельности.
35	Iron	17.7	4.2	t	Железо. Основной материал промышленности. Благодаря прочности находит применение в промышленном производстве и сельском хозяйстве.
36	Magnesium	10.4	2.2	t	Магний. Достаточно прочный, легкий материал применяемый в авиации и для создания устаревших типов летательных аппаратов, в том числе космических. Взрывоопасен и в чистом виде используется редко.
37	Aluminium	13.9	3.3	t	Алюминий. Также как и магний легкий, относительно прочный материал используемый в промышленности. 
38	Alloys	38.8	6	t	Сплавы. Современные материалы, смеси различных химических элементов. За счет сочетания положительных качеств каждого из элементов незаменимы в всех видах производств.
39	Silphur	14.3	2.6	t	Сера. Химическое вещество, требуемое для создания новых видов сплавов. Также существует в атмосферах некоторых планет.
40	Firearms*	67.0	15.8	t	Ручное оружие. Незаконный товар, используемый населением некоторых планет, рабами, террористами для организации вооруженных восстаний или гражданских войн.
41	Chemical_Weapon*	54.9	19.7	t	Химическое оружие. Незаконный товар, применяемый обычно представителями власти для подавления восстаний и войн в пределах одной планеты.
42	Biological_Weapon*	78.7	20.9	t	Биологическое оружие. Незаконный товар - вещество, вызывающее необратимые реакции в теле живого организма. Искусственно созданный вирус.
43	Psi_Weapon*	99.2	28.9	unit	Психическое оружие. Незаконный товар, используемый в основном представителями власти для управления гражданами, а также в войнах с целью морального подавления противника, подчинения чужой воле. 
44	Furs	77.4	10.6	t	Меха. Кожный и волосяной покров некоторых редких видов существ, живущих на планетах с хорошим климатом. Обладает хорошей теплосберегающей способностью и эстетичностью. Пользуется повышенным спросом у богачей.
45	Timber	14.6	3.0	t	Древесина. Используется как строительный материал на планетах с низким уровнем развития. Редкие породы древесины применяются для производства бумаги и предметов роскоши.    
